Shampoo Bottle grasping and Ungrasping
14:23:33:736 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:37:255 -> 53160,2100,S0=10.05 mA, S1=10.10 mA, S2=45.65 mA, S3=9.98 mA, S4=10.00 mA
14:23:37:561 -> Enter next command:
14:23:37:561 -> 53468,2100,S0=9.98 mA, S1=10.07 mA, S2=45.55 mA, S3=9.98 mA, S4=9.98 mA
14:23:38:104 -> FSR Live: PB0=0.00, PA7=0.03, PA6=7.96, PA5=0.00, PA4=0.05, PA3=15.95, PA2=0.06, PA1=0.08, PA0=0.05
14:23:38:351 -> FSR Live: PB0=0.00, PA7=0.01, PA6=7.96, PA5=0.01, PA4=0.05, PA3=15.91, PA2=0.05, PA1=0.11, PA0=0.03
14:23:38:594 -> FSR Live: PB0=0.00, PA7=0.00, PA6=8.00, PA5=0.08, PA4=0.01, PA3=15.96, PA2=0.05, PA1=0.06, PA0=0.10
14:23:38:600 -> 54509,2100,S0=9.93 mA, S1=10.05 mA, S2=44.75 mA, S3=10.05 mA, S4=9.98 mA
14:23:39:145 -> FSR Live: PB0=0.00, PA7=0.00, PA6=7.94, PA5=0.06, PA4=0.05, PA3=15.96, PA2=0.06, PA1=0.01, PA0=0.08
14:23:39:151 -> Moving servos (us): 1800
14:23:39:156 -> 55060,1800,S0=10.00 mA, S1=10.07 mA, S2=44.83 mA, S3=10.00 mA, S4=10.00 mA
14:23:39:461 -> 55366,1800,S0=68.35 mA, S1=37.93 mA, S2=53.60 mA, S3=38.33 mA, S4=39.97 mA
14:23:39:770 -> 55675,1800,S0=39.53 mA, S1=40.05 mA, S2=48.85 mA, S3=9.88 mA, S4=41.60 mA
14:23:40:078 -> 55983,1800,S0=26.85 mA, S1=142.95 mA, S2=48.80 mA, S3=9.85 mA, S4=39.53 mA
14:23:40:383 -> Enter next command:
14:23:40:383 -> 56290,1800,S0=40.38 mA, S1=41.45 mA, S2=48.97 mA, S3=10.00 mA, S4=40.97 mA
14:23:40:925 -> FSR Live: PB0=0.00, PA7=0.03, PA6=8.76, PA5=0.04, PA4=0.01, PA3=16.34, PA2=0.04, PA1=0.03, PA0=0.03
14:23:41:171 -> =====================================
14:23:41:171 -> STABLE → DATA SAVED
14:23:41:177 -> FSR Snapshot: PB0=0.04, PA7=0.01, PA6=8.09, PA5=0.00, PA4=0.01, PA3=16.20, PA2=0.09, PA1=0.08, PA0=0.08
14:23:41:182 -> =====================================
14:23:41:188 -> FSR Live: PB0=0.04, PA7=0.01, PA6=8.09, PA5=0.00, PA4=0.01, PA3=16.20, PA2=0.09, PA1=0.08, PA0=0.08
14:23:41:436 -> FSR Live: PB0=0.01, PA7=0.03, PA6=8.05, PA5=0.01, PA4=0.01, PA3=16.29, PA2=0.00, PA1=0.05, PA0=0.04
14:23:41:441 -> 57349,1800,S0=40.93 mA, S1=38.20 mA, S2=49.00 mA, S3=10.05 mA, S4=38.35 mA
14:23:41:990 -> FSR Live: PB0=0.01, PA7=0.00, PA6=8.34, PA5=0.04, PA4=0.05, PA3=16.19, PA2=0.10, PA1=0.06, PA0=0.06
14:23:41:995 -> Moving servos (us): 1500
14:23:42:001 -> 57905,1500,S0=41.05 mA, S1=40.97 mA, S2=49.10 mA, S3=10.00 mA, S4=40.78 mA
14:23:42:310 -> 58215,1500,S0=51.45 mA, S1=60.63 mA, S2=48.78 mA, S3=95.37 mA, S4=36.78 mA
14:23:42:616 -> 58522,1500,S0=62.50 mA, S1=58.47 mA, S2=46.97 mA, S3=42.68 mA, S4=48.22 mA
14:23:42:922 -> 58828,1500,S0=44.35 mA, S1=58.70 mA, S2=46.85 mA, S3=42.03 mA, S4=46.83 mA
14:23:43:226 -> Enter next command:
14:23:43:226 -> 59133,1500,S0=40.38 mA, S1=60.55 mA, S2=45.75 mA, S3=42.38 mA, S4=38.60 mA
14:23:43:772 -> FSR Live: PB0=0.01, PA7=0.00, PA6=19.91, PA5=0.03, PA4=0.04, PA3=12.96, PA2=0.08, PA1=0.04, PA0=0.08
14:23:44:016 -> FSR Live: PB0=0.00, PA7=0.01, PA6=19.65, PA5=0.04, PA4=0.03, PA3=13.35, PA2=0.04, PA1=0.05, PA0=0.09
14:23:44:262 -> FSR Live: PB0=0.00, PA7=0.03, PA6=19.89, PA5=0.00, PA4=0.05, PA3=12.35, PA2=0.06, PA1=0.08, PA0=0.03
14:23:44:268 -> 60177,1500,S0=44.13 mA, S1=57.43 mA, S2=46.15 mA, S3=42.03 mA, S4=47.15 mA
14:23:44:816 -> FSR Live: PB0=0.00, PA7=0.04, PA6=20.64, PA5=0.01, PA4=0.06, PA3=12.73, PA2=0.03, PA1=0.09, PA0=0.05
14:23:44:821 -> Moving servos (us): 1200
14:23:44:826 -> 60731,1200,S0=44.13 mA, S1=54.53 mA, S2=45.88 mA, S3=43.13 mA, S4=48.05 mA
14:23:45:134 -> 61040,1200,S0=58.90 mA, S1=59.53 mA, S2=67.97 mA, S3=43.45 mA, S4=38.28 mA
