12:59:14:950 -> Moving servos (us): 2262
12:59:14:955 -> Moving servos (us): 2262
12:59:14:955 -> Moving servos (us): 2261
12:59:14:960 -> Moving servos (us): 2261
12:59:14:960 -> Moving servos (us): 2261
12:59:14:960 -> Moving servos (us): 2259
12:59:14:966 -> Moving servos (us): 2259
12:59:14:966 -> Moving servos (us): 2258
12:59:14:971 -> Moving servos (us): 2258
12:59:14:971 -> Moving servos (us): 2258
12:59:14:977 -> Moving servos (us): 2257
12:59:14:977 -> Moving servos (us): 2257
12:59:14:977 -> Moving servos (us): 2255
12:59:14:982 -> Moving servos (us): 2255
12:59:14:982 -> Moving servos (us): 2255
12:59:14:987 -> Moving servos (us): 2255
12:59:14:987 -> Moving servos (us): 2254
12:59:14:987 -> Moving servos (us): 2253
12:59:14:993 -> Moving servos (us): 2253
12:59:14:993 -> Moving servos (us): 2252
12:59:14:998 -> Moving servos (us): 2252
12:59:14:998 -> Moving servos (us): 2251
12:59:15:004 -> Moving servos (us): 2250
12:59:15:004 -> Moving servos (us): 2250
12:59:15:004 -> Moving servos (us): 2249
12:59:15:009 -> Moving servos (us): 2249
12:59:15:009 -> Moving servos (us): 2249
12:59:15:014 -> Moving servos (us): 2248
12:59:15:014 -> Moving servos (us): 2247
12:59:15:014 -> Moving servos (us): 2246
12:59:15:020 -> Moving servos (us): 2246
12:59:15:020 -> Moving servos (us): 2246
12:59:15:026 -> Moving servos (us): 2245
12:59:15:026 -> Moving servos (us): 2245
12:59:15:031 -> Moving servos (us): 2243
12:59:15:031 -> Moving servos (us): 2243
12:59:15:031 -> Moving servos (us): 2243
12:59:15:036 -> Moving servos (us): 2243
12:59:15:036 -> Moving servos (us): 2242
12:59:15:041 -> Moving servos (us): 2241
12:59:15:041 -> Moving servos (us): 2241
12:59:15:047 -> Moving servos (us): 2240
12:59:15:047 -> Moving servos (us): 2239
12:59:15:047 -> Moving servos (us): 2239
12:59:15:052 -> Moving servos (us): 2238
12:59:15:052 -> Moving servos (us): 2238
12:59:15:058 -> Moving servos (us): 2238
12:59:15:058 -> Moving servos (us): 2237
12:59:15:058 -> Moving servos (us): 2237
12:59:15:063 -> Moving servos (us): 2236
12:59:15:063 -> Moving servos (us): 2235
12:59:15:069 -> Moving servos (us): 2234
12:59:15:069 -> Moving servos (us): 2234
12:59:15:077 -> Moving servos (us): 2234
12:59:15:077 -> Moving servos (us): 2234
12:59:15:077 -> Moving servos (us): 2233
12:59:15:079 -> Moving servos (us): 2232
12:59:15:079 -> Moving servos (us): 2231
12:59:15:085 -> Moving servos (us): 2231
12:59:15:085 -> Moving servos (us): 2230
12:59:15:085 -> Moving servos (us): 2230
12:59:15:090 -> Moving servos (us): 2229
12:59:15:090 -> Moving servos (us): 2229
12:59:15:096 -> Moving servos (us): 2228
12:59:15:096 -> Moving servos (us): 2228
12:59:15:101 -> Moving servos (us): 2228
12:59:15:101 -> Moving servos (us): 2226
12:59:15:101 -> Moving servos (us): 2226
12:59:15:106 -> Moving servos (us): 2226
12:59:15:106 -> 77954,2226,S0=36.93 mA, S1=12.77 mA, S2=39.28 mA, S3=53.30 mA, S4=36.60 mA
12:59:15:112 -> FSR Live: PB0=0.00, PA7=0.00, PA6=21.00, PA5=0.00, PA4=0.00, PA3=5.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:15:123 -> Moving servos (us): 2221
12:59:15:128 -> Moving servos (us): 2221
12:59:15:128 -> Moving servos (us): 2220
12:59:15:128 -> Moving servos (us): 2220
12:59:15:133 -> Moving servos (us): 2219
12:59:15:133 -> Moving servos (us): 2218
12:59:15:139 -> Moving servos (us): 2218
12:59:15:139 -> Moving servos (us): 2218
12:59:15:139 -> Moving servos (us): 2218
12:59:15:144 -> Moving servos (us): 2217
12:59:15:144 -> Moving servos (us): 2216
12:59:15:150 -> Moving servos (us): 2215
12:59:15:150 -> Moving servos (us): 2215
12:59:15:156 -> Moving servos (us): 2214
12:59:15:156 -> Moving servos (us): 2214
12:59:15:156 -> Moving servos (us): 2213
