12:44:03:214 -> Moving servos (us): 2225
12:44:03:214 -> Moving servos (us): 2225
12:44:03:220 -> Moving servos (us): 2224
12:44:03:220 -> Moving servos (us): 2224
12:44:03:220 -> Moving servos (us): 2223
12:44:03:225 -> Moving servos (us): 2223
12:44:03:225 -> Moving servos (us): 2222
12:44:03:231 -> Moving servos (us): 2222
12:44:03:231 -> Moving servos (us): 2220
12:44:03:231 -> Moving servos (us): 2220
12:44:03:236 -> Moving servos (us): 2220
12:44:03:236 -> Moving servos (us): 2219
12:44:03:241 -> Moving servos (us): 2219
12:44:03:241 -> Moving servos (us): 2218
12:44:03:247 -> Moving servos (us): 2217
12:44:03:247 -> Moving servos (us): 2217
12:44:03:247 -> Moving servos (us): 2217
12:44:03:252 -> Moving servos (us): 2216
12:44:03:252 -> Moving servos (us): 2215
12:44:03:258 -> Moving servos (us): 2215
12:44:03:258 -> Moving servos (us): 2215
12:44:03:258 -> Moving servos (us): 2214
12:44:03:263 -> Moving servos (us): 2214
12:44:03:263 -> Moving servos (us): 2212
12:44:03:268 -> Moving servos (us): 2212
12:44:03:268 -> Moving servos (us): 2212
12:44:03:274 -> Moving servos (us): 2212
12:44:03:274 -> Moving servos (us): 2211
12:44:03:274 -> Moving servos (us): 2210
12:44:03:283 -> Moving servos (us): 2210
12:44:03:283 -> Moving servos (us): 2209
12:44:03:285 -> Moving servos (us): 2209
12:44:03:285 -> Moving servos (us): 2208
12:44:03:290 -> Moving servos (us): 2207
12:44:03:290 -> Moving servos (us): 2207
12:44:03:290 -> Moving servos (us): 2207
12:44:03:296 -> Moving servos (us): 2206
12:44:03:296 -> Moving servos (us): 2206
12:44:03:301 -> Moving servos (us): 2205
12:44:03:301 -> Moving servos (us): 2204
12:44:03:301 -> Moving servos (us): 2203
12:44:03:306 -> Moving servos (us): 2203
12:44:03:306 -> Moving servos (us): 2203
12:44:03:312 -> Moving servos (us): 2202
12:44:03:312 -> Moving servos (us): 2202
12:44:03:317 -> Moving servos (us): 2200
12:44:03:317 -> Moving servos (us): 2200
12:44:03:317 -> Moving servos (us): 2200
12:44:03:322 -> Moving servos (us): 2200
12:44:03:322 -> Moving servos (us): 2199
12:44:03:330 -> Moving servos (us): 2198
12:44:03:330 -> Moving servos (us): 2198
12:44:03:330 -> Moving servos (us): 2197
12:44:03:334 -> Moving servos (us): 2197
12:44:03:334 -> Moving servos (us): 2196
12:44:03:343 -> 123592,2196,S0=-0.05 mA, S1=-0.03 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.00 mA
12:44:03:348 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:03:354 -> Moving servos (us): 2192
12:44:03:359 -> Moving servos (us): 2191
12:44:03:359 -> Moving servos (us): 2191
12:44:03:364 -> Moving servos (us): 2189
12:44:03:364 -> Moving servos (us): 2189
12:44:03:364 -> Moving servos (us): 2189
12:44:03:370 -> Moving servos (us): 2188
12:44:03:370 -> Moving servos (us): 2188
12:44:03:375 -> Moving servos (us): 2187
12:44:03:375 -> Moving servos (us): 2187
12:44:03:381 -> Moving servos (us): 2186
12:44:03:381 -> Moving servos (us): 2185
12:44:03:381 -> Moving servos (us): 2185
12:44:03:386 -> Moving servos (us): 2184
12:44:03:386 -> Moving servos (us): 2184
12:44:03:391 -> Moving servos (us): 2184
12:44:03:391 -> Moving servos (us): 2183
12:44:03:391 -> Moving servos (us): 2182
12:44:03:397 -> Moving servos (us): 2181
12:44:03:397 -> Moving servos (us): 2181
12:44:03:402 -> Moving servos (us): 2181
12:44:03:402 -> Moving servos (us): 2181
12:44:03:407 -> Moving servos (us): 2180
12:44:03:407 -> Moving servos (us): 2179
12:44:03:407 -> Moving servos (us): 2178
12:44:03:413 -> Moving servos (us): 2178
12:44:03:413 -> Moving servos (us): 2177
12:44:03:418 -> Moving servos (us): 2177
12:44:03:418 -> Moving servos (us): 2176
12:44:03:424 -> Moving servos (us): 2176
12:44:03:424 -> Moving servos (us): 2175
12:44:03:424 -> Moving servos (us): 2175
12:44:03:429 -> Moving servos (us): 2175
12:44:03:429 -> Moving servos (us): 2173
12:44:03:435 -> Moving servos (us): 2173
12:44:03:435 -> Moving servos (us): 2172
12:44:03:435 -> Moving servos (us): 2172
12:44:03:440 -> Moving servos (us): 2172
12:44:03:440 -> Moving servos (us): 2171
12:44:03:446 -> Moving servos (us): 2171
12:44:03:446 -> Moving servos (us): 2169
12:44:03:451 -> Moving servos (us): 2169
12:44:03:451 -> Moving servos (us): 2169
12:44:03:451 -> Moving servos (us): 2169
12:44:03:456 -> Moving servos (us): 2168
12:44:03:456 -> Moving servos (us): 2167
12:44:03:462 -> Moving servos (us): 2167
12:44:03:462 -> Moving servos (us): 2166
12:44:03:462 -> Moving servos (us): 2165
12:44:03:467 -> Moving servos (us): 2165
12:44:03:467 -> Moving servos (us): 2164
12:44:03:473 -> Moving servos (us): 2164
12:44:03:473 -> Moving servos (us): 2164
12:44:03:478 -> Moving servos (us): 2163
12:44:03:478 -> Moving servos (us): 2162
12:44:03:478 -> Moving servos (us): 2162
