21:48:13:767 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:767 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:767 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:767 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:770 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:775 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
