17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:827 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:828 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:829 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:829 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:829 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
