14:33:46:091 -> Moving servos (us): 2148
14:33:46:091 -> Moving servos (us): 2148
14:33:46:091 -> Moving servos (us): 2148
14:33:46:096 -> Moving servos (us): 2148
14:33:46:096 -> Moving servos (us): 2147
14:33:46:102 -> Moving servos (us): 2146
14:33:46:102 -> Moving servos (us): 2145
14:33:46:107 -> Moving servos (us): 2145
14:33:46:107 -> Moving servos (us): 2145
14:33:46:107 -> Moving servos (us): 2144
14:33:46:114 -> Moving servos (us): 2143
14:33:46:114 -> Moving servos (us): 2143
14:33:46:118 -> Moving servos (us): 2143
14:33:46:118 -> Moving servos (us): 2142
14:33:46:118 -> Moving servos (us): 2142
14:33:46:123 -> Moving servos (us): 2140
14:33:46:123 -> Moving servos (us): 2140
14:33:46:129 -> Moving servos (us): 2140
14:33:46:129 -> Moving servos (us): 2139
14:33:46:134 -> Moving servos (us): 2139
14:33:46:134 -> Moving servos (us): 2138
14:33:46:134 -> Moving servos (us): 2138
14:33:46:139 -> Moving servos (us): 2138
14:33:46:139 -> Moving servos (us): 2136
14:33:46:145 -> Moving servos (us): 2136
14:33:46:145 -> Moving servos (us): 2135
14:33:46:150 -> Moving servos (us): 2135
14:33:46:150 -> Moving servos (us): 2135
14:33:46:150 -> Moving servos (us): 2134
14:33:46:156 -> Moving servos (us): 2134
14:33:46:156 -> Moving servos (us): 2133
14:33:46:161 -> Moving servos (us): 2132
14:33:46:161 -> Moving servos (us): 2131
14:33:46:161 -> Moving servos (us): 2131
14:33:46:167 -> Moving servos (us): 2131
14:33:46:167 -> Moving servos (us): 2130
14:33:46:172 -> Moving servos (us): 2130
14:33:46:172 -> Moving servos (us): 2128
14:33:46:177 -> Moving servos (us): 2128
14:33:46:177 -> Moving servos (us): 2128
14:33:46:177 -> Moving servos (us): 2128
14:33:46:183 -> Moving servos (us): 2127
14:33:46:183 -> Moving servos (us): 2126
14:33:46:188 -> Moving servos (us): 2125
14:33:46:188 -> Moving servos (us): 2125
14:33:46:188 -> Moving servos (us): 2125
14:33:46:195 -> Moving servos (us): 2124
14:33:46:195 -> Moving servos (us): 2123
14:33:46:199 -> Moving servos (us): 2123
14:33:46:199 -> Moving servos (us): 2123
14:33:46:205 -> Moving servos (us): 2122
14:33:46:205 -> Moving servos (us): 2122
14:33:46:205 -> Moving servos (us): 2120
14:33:46:210 -> Moving servos (us): 2120
14:33:46:210 -> Moving servos (us): 2120
14:33:46:215 -> Moving servos (us): 2120
14:33:46:215 -> Moving servos (us): 2119
14:33:46:221 -> Moving servos (us): 2118
14:33:46:221 -> Moving servos (us): 2118
14:33:46:221 -> Moving servos (us): 2117
14:33:46:226 -> Moving servos (us): 2117
14:33:46:226 -> Moving servos (us): 2116
14:33:46:231 -> Moving servos (us): 2115
14:33:46:231 -> Moving servos (us): 2115
14:33:46:231 -> Moving servos (us): 2114
14:33:46:237 -> Moving servos (us): 2114
14:33:46:237 -> Moving servos (us): 2113
14:33:46:242 -> Moving servos (us): 2113
14:33:46:242 -> Moving servos (us): 2112
14:33:46:248 -> Moving servos (us): 2111
14:33:46:248 -> Moving servos (us): 2111
14:33:46:248 -> Moving servos (us): 2111
14:33:46:253 -> Moving servos (us): 2110
14:33:46:253 -> Moving servos (us): 2110
14:33:46:259 -> Moving servos (us): 2109
14:33:46:259 -> Moving servos (us): 2108
14:33:46:259 -> Moving servos (us): 2108
14:33:46:264 -> Moving servos (us): 2108
14:33:46:264 -> Moving servos (us): 2107
14:33:46:274 -> 28599,2107,S0=35.97 mA, S1=37.83 mA, S2=74.65 mA, S3=36.30 mA, S4=200.70 mA
14:33:46:279 -> FSR Live: PB0=0.00, PA7=0.00, PA6=0.00, PA5=0.00, PA4=0.00, PA3=0.00, PA2=1.00, PA1=0.00, PA0=0.00
14:33:46:284 -> Moving servos (us): 2102
14:33:46:290 -> Moving servos (us): 2102
14:33:46:290 -> Moving servos (us): 2101
14:33:46:295 -> Moving servos (us): 2100
14:33:46:295 -> Moving servos (us): 2100
14:33:46:295 -> Moving servos (us): 2099
14:33:46:300 -> Moving servos (us): 2099
14:33:46:300 -> Moving servos (us): 2099
14:33:46:306 -> Moving servos (us): 2097
14:33:46:306 -> Moving servos (us): 2097
14:33:46:311 -> Moving servos (us): 2097
14:33:46:311 -> Moving servos (us): 2096
14:33:46:311 -> Moving servos (us): 2096
14:33:46:325 -> Moving servos (us): 2095
14:33:46:325 -> Moving servos (us): 2094
14:33:46:326 -> Moving servos (us): 2094
14:33:46:326 -> Moving servos (us): 2094
14:33:46:326 -> Moving servos (us): 2093
14:33:46:328 -> Moving servos (us): 2092
14:33:46:328 -> Moving servos (us): 2092
14:33:46:333 -> Moving servos (us): 2091
14:33:46:333 -> Moving servos (us): 2091
14:33:46:339 -> Moving servos (us): 2091
14:33:46:339 -> Moving servos (us): 2089
14:33:46:339 -> Moving servos (us): 2089
14:33:46:344 -> Moving servos (us): 2088
14:33:46:344 -> Moving servos (us): 2088
14:33:46:352 -> Moving servos (us): 2088
14:33:46:352 -> Moving servos (us): 2087
14:33:46:354 -> Moving servos (us): 2086
14:33:46:354 -> Moving servos (us): 2085
14:33:46:354 -> Moving servos (us): 2085
14:33:46:360 -> Moving servos (us): 2085
14:33:46:360 -> Moving servos (us): 2085
14:33:46:365 -> Moving servos (us): 2084
14:33:46:365 -> Moving servos (us): 2083
14:33:46:365 -> Moving servos (us): 2082
14:33:46:372 -> Moving servos (us): 2082
14:33:46:372 -> Moving servos (us): 2082
14:33:46:377 -> Moving servos (us): 2081
14:33:46:377 -> Moving servos (us): 2080
14:33:46:382 -> Moving servos (us): 2080
14:33:46:382 -> Moving servos (us): 2080
14:33:46:382 -> Moving servos (us): 2079
14:33:46:387 -> Moving servos (us): 2079
14:33:46:387 -> Moving servos (us): 2077
14:33:46:393 -> Moving servos (us): 2077
14:33:46:393 -> Moving servos (us): 2077
14:33:46:393 -> Moving servos (us): 2076
14:33:46:398 -> Moving servos (us): 2076
14:33:46:398 -> Moving servos (us): 2075
14:33:46:403 -> Moving servos (us): 2075
14:33:46:403 -> Moving servos (us): 2075
